00626a,a956fb
149257,29ad0f
64437f,da111a
31f9d2,87e999
f80482,e039e4
2d67d8,c52df9
11dd0e,f143ae
fbe733,4a2675
892da4,7ba08f
3d0010,390299
4c1dc7,788e5d
a2ee63,e25613
74ab10,eccb15
18885c,27d071
16cbc7,474044
150240,f0c5f0
5ca6d1,f48956
6d6a6a,06a96e
1f6ef2,36f374
76eb7b,873e6d
0a9c90,5e6ec3
b3cade,6161bf
d43ce5,dd14a2
68bca6,74f6c0
683972,283006
40cbbc,af1402
0aec6d,19c215
5e96ab,c89c37
a0ae81,b5ae4b
9d9f31,d700a7
a9e957,bc53be
d50330,993f74
5cdc24,2d2b0f
505faa,8522d8
53ea1a,93d81c
ac55c8,7f3e3a
414238,eee537
c913a6,060152
3e464f,372e98
149289,d7257a
53b4d9,967a3d
850482,8c403c
7b62e3,9363f3
29b4a7,605c64
29b4a8,c97bdb
45bc97,8fd787
4f22f8,cef2b6
5614a1,be55c1
a30e4e,df2b7c
6a8649,ecfeef
794b74,d9ecab
ce116a,a18168
51aa6f,8bc6a9
71c5fa,e4e99d
42886a,f24947
b93101,dcfc4f
00fefc,3e5bcb
4630c1,453c85
5af251,605edd
00fefa,eb8757
00fefb,e79956
766700,6662e7
e26b33,cc6ada
0b619c,1723ed
bf7403,fc3b3f
265feb,0acfc0
143d3c,dcfdf6
5b1269,aa5fe4
a5f2ba,a5ce80
00feed,ec4a83
011efa,0b0581
00feee,0cb8e4
011efb,7c4643
3948da,e94520
ddd579,05610d
00feea,7f6334
f4ddae,798e25
eff7eb,304b49
0f8ae5,eb9cde
f2f3a6,8988f8
7bb388,3ebd45
5d50b1,7e75c3
843f6c,e6407e
b0e6a6,9d2161
ee61eb,ae5dda
00fedf,c70906
7bb35e,6dc2a9
a852ac,78f2fe
65892a,225627
cfdc1c,d3c9d4
3c3b40,17b615
eeb1e0,eaa1f8
fbe723,940057
fb9739,b2396f
bc6de4,8d78e2
aa15e0,f9e9de
1a7ee8,a9496c
947895,442450
397e0b,a5eafc
0df188,287cc7
017586,c855f5
b0e6ab,963159
265fbd,9951a1
97ac9d,794968
5a4beb,f4eba6
11dd39,96e48c
233039,70e159
00febb,79d336
3802d7,05e520
1b4548,f49c75
7fa957,b772d2
cd16d6,7ac90c
00fec0,5f3d65
83e9c3,6be2d4
1397d9,ed49dc
19d248,b94ae7
011ed5,fc4bd2
011ed4,7b5123
bc6daf,f0f95f
00fead,0d7fd6
00feae,7911bf
011eba,1943d3
5364b8,689c2d
00feb3,71db77
fc3b8c,1c9668
51aa24,7048df
373e99,a4248a
011ec1,fe3a84
1b4551,f4b576
011ec4,0aa0b1
5364b3,a68234
658954,b41dc3
011ec2,fdb07a
c60eb2,7c2d4f
011ec8,51a1b3
2b2940,c92955
3ce073,b7b908
b0e6f6,702baf
26aff6,f08156
00fedb,37c61a
3f406f,d688b1
00fedd,e2e61d
011eea,87ff92
011eef,4a6dff
011eee,407413
13e7ba,3cc7b8
b3cc02,0a9161
48719a,084e67
1d8537,59fa6a
00fee7,afbe07
aa15a8,97adf8
011ef3,dce192
00fee3,9783f9
011ef2,1850c5
9e63e6,f8987a
902d1a,39a50e
65896f,db40f1
011ef9,40a189
2b290e,6022f3
233085,2f80d3
e475e0,a52655
d18cce,96930e
703129,d89583
4e5dd1,1b174b
0a66bc,77304e
e51b0f,96fcd8
a78e36,04f760
7fa95b,f9e192
e475d8,313554
89d423,a1279c
011ee6,175c83
011ee4,a913e7
769b4e,f422e5
19d212,2c94eb
b83791,603bb3
82e191,d32c72
00ab70,5e54ec
af59a5,29da7d
005b93,dfdcde
00ab71,ef7d86
00ab73,2c983f
00ab5f,31ca83
005b96,c30e43
005b94,7f253e
005b95,800fbb
005b8a,3790a9
656df4,4ea240
00ab5b,cf08c7
534a24,72c1d6
00ab5c,c0b51d
00ab5a,4cb076
00ab68,fb3fb6
00ab65,0a6b7b
00ab66,abf4b7
e3874e,52e453
005b8c,04832b
47ab6b,1d976d
005b81,9bd014
005b82,139e37
00ab60,497954
50ea4c,5bdd66
005b80,26b303
00ab64,b1b601
00ab61,69f4a2
499b5d,713922
00ab4f,463894
005b88,c49de3
00ab4d,3d9448
980a5a,4dac7f
005b85,ac552b
005b86,f2050d
979a79,f3e7e5
005b84,7c7cbc
284e81,25c42b
e17aab,3ce8c1
005b7a,fb5e22
00ab4b,d755c3
34927f,c5d59c
00ab57,bf8777
91ffbf,1763cc
00ab54,98201f
3d867a,c212ed
005b7e,db5788
63d43b,4ce15a
005b7b,aba9cb
00ab59,b8f482
00ab92,e7de03
1c6ce1,6b9677
00ab93,1e9ff1
bdd91b,341714
878163,d9edeb
00ab95,649178
a70b28,2e16af
00ab7f,f670c2
7af5d7,919860
475b86,2e21e2
5b98a8,926ce8
00ab7e,01463f
00ab7b,086d5d
2d4c1e,622e4e
b5057f,5b1a72
00ab88,bfa1c1
0265eb,55126e
00ab81,1121d5
c4fe6c,e3c820
00ab82,5c0674
bc4318,132b71
00ab86,12266d
318d19,48657b
00ab84,427c69
00ab6e,4a4d28
00ab6f,55ceed
2b0c73,ac6a16
49eb91,938946
00ab78,fd79fe
374285,6c0504
74b1a2,c03c6e
00ab76,8abe86
00ab77,7baa05
005b9f,96a636
b7451a,3dbe94
005b9d,12aad5
005b9e,b76f69
ab0f8b,620b36
0025ec,152eda
0025ed,d7f356
005b3f,7bd086
823c38,6732ec
5554db,0c8ba1
005b57,00aeb3
005b54,1c7ed6
005b55,3e4b1a
00ab1a,52a7cf
005b52,2fd84b
00ab1f,a8d977
0b8f91,caea30
0c53b1,141e86
005b59,a1d5a8
acf9fa,3e4683
0025fa,3d14cf
005b4c,fa64c7
005b4d,a1d30b
c4c8fa,794094
284e37,5b7b37
005b4b,334641
a1fb9d,100249
00ab26,cb2829
0025df,05c8f9
71ad73,ba289b
0025da,90e6a1
969fd6,7298a1
0025db,ae4782
afdf1a,29fb89
dd907e,f3cbd5
0025dc,d47315
005b2e,a30e9d
284e2b,a2b9ea
005b45,433edd
00ab0a,5c66d4
005b46,6ae4a4
0025f1,39db46
c572b3,28df97
0025f2,34f81c
005b41,eab6e0
00ab0e,a67a7d
00ab0c,c6d8da
005b40,a9d298
0025f7,519978
0025f8,f5f26d
00ab18,5eb148
07a5c7,eb7d79
00ab19,eea1a6
0025f3,9ece83
687446,622c9d
0025f5,1d18ec
d6521b,100da1
005b47,5c6dd8
0025f6,706910
005b48,3353c4
005b3d,18b11f
005b3b,bc8378
af8f0a,4ee7a2
0025ea,fe9523
00ab11,91186d
00ab16,102194
005b3a,0334a0
00ab17,1dd002
00ab15,963332
ba0339,87a9ab
005b71,0963fc
6f5c76,e3dd51
854151,5766e3
a7b083,66165b
00ab53,86b67d
00ab50,991ac1
00ab51,2a740b
32526c,a589c3
3f6fe9,f65ae2
ce66c2,a72057
005b76,967ba2
005b77,d3099f
005b74,aa1927
005b75,90a5fd
af8f52,7593b2
9e18e6,8b1788
005b72,f62c95
00ab3f,54c785
78dd6b,fb228b
1a839f,684c7a
c0d2ed,a8e443
00ab44,ea63af
005b6c,5ebd7c
00ab48,bb05d3
1ad379,0be395
d89203,f347e1
0025fc,d42319
a69b00,4d84f1
00ab41,5885dd
2ab6c3,9f4e62
00ab42,8a572e
0025fe,ff13d7
6d70ee,362245
005b67,958c74
00ab2d,919272
872ab8,22f207
00ab2a,9e8c7f
005b63,919e61
6a6bad,f5fab9
005b64,382797
005b61,fb0022
b98525,ba9895
005b62,147a6e
3dd634,434f29
ae13b5,f5a41e
005b69,d5162b
abb3da,03d8b8
005b5f,cd3cb3
00ab34,4037a0
005b5d,3386f0
63d49e,f90de8
005b5e,284832
57e59d,77a234
005b5b,0b4091
005b5c,1e7281
7da5a6,1a0c3c
00ab36,ddd132
002754,21c39f
f8dedc,e44a1f
002755,bfec26
002757,8d2ee3
002752,71148b
42bb6d,4301b4
002753,be9ea9
7fe66e,ecd722
7fe66b,faa021
607f6c,ab469b
00274e,8e106d
00274f,03c060
00274a,8fdec7
367d30,e5471a
00274b,9c06c1
6fac1f,65fea0
005aa4,7b0796
005aa1,49c406
580553,350efb
005aa2,9c98d4
005aa0,279825
6abc9a,745631
994fd2,521f18
002744,40a309
002745,05486f
c75da0,7c49bb
002740,49b03c
002742,4fbb7a
e9c099,8ca250
6632fd,e92742
002748,b3e22d
e66b43,5d5793
00273b,fca4f4
f8def6,6e6832
00273a,84a51c
00273f,4655e4
05f04a,72ccb9
451b2a,f62929
44fb61,e10533
002776,41edae
002777,3c3a49
ed1f43,7eacd4
002778,aad28e
301268,0a42a7
002779,b9a807
002772,f93d3d
005ab8,8af326
002775,d7ac25
005ab7,a1e173
005aac,f99823
005aad,99b1fe
005aaa,af89c8
81e6f6,2c441e
795297,a787f6
054b6c,3ed3a8
75f908,49899e
7c1065,1cda33
b0152e,7f736e
085033,d694de
00276b,147c7f
5aa337,3f9fc2
00276c,f064f4
00276d,38d0ce
005aaf,992912
005ac5,8d2bc4
21c460,d728cd
002780,73c79e
005ac6,93a761
002781,cd9699
6d70b6,8662a1
d0b89d,4683c1
005ac4,afeb7e
005ac1,f7da44
005ac0,e1d6af
002766,f79d26
005aa9,8ef5bf
005aa7,39c56a
217497,dc5bc3
60cf22,d86a6f
002764,750f31
3887c0,712fc6
005aa6,5e21d6
5aa332,4b16d7
81e6e6,775057
002769,17d1c7
00275e,0c73a4
00275a,16f136
00275c,749f9e
86d6a2,22252a
7ea04e,b468a1
005ab4,c1a438
5c096b,8c8f95
002770,2dc9f5
002771,bbbac9
7d5695,8f3ad6
04f5ef,028631
002710,25f51c
d8e0e1,3efab0
fb198a,c74e22
002719,407b98
002715,345273
002716,f50896
002717,f80006
638438,c67c55
00ab9c,89f684
00270b,70adda
00ab9a,8e1e54
a9f09d,a08c90
fda92e,61cc91
00ab9d,854a60
00ab9e,b05b8d
7fe642,81c7e1
607f2e,6e62b2
cd20e8,dfe624
00270c,aa9f4f
a2710b,f3a565
ecc9b2,e21603
002700,f26da4
002701,a442a4
a4ab77,64a9f4
a1c752,ccdb55
002707,f8ba55
002708,12b7dd
5c0962,64f907
19fec8,b7ca19
002703,f5d1ca
002704,f42a6a
002705,230ec8
00ab8a,b48f1a
00ab8e,01b56c
00ab8f,26dc1b
002732,af2894
002733,ee1c5f
002734,1fc237
edc581,4dda82
002735,14429d
976668,e67bf5
08506f,9d3fb9
7da67d,237bc9
cd20ef,92dd0a
002736,9a0b58
318bb2,266899
392d0f,3a6b67
002737,727c33
002738,c7256f
002739,8e8e10
715cbc,c73f89
00272b,e9d3c3
00272c,cf3e1d
315865,4a94e8
63d436,438982
2bb0c7,e5e4c5
c26e0b,5f6129
f9a542,d3ed1c
5c093b,2be6ea
002721,9c44d5
1f1d9d,2c43d7
002729,16d732
002725,d60ed6
002726,68867b
002727,b5e8fc
f224fa,bc2382
4e6535,89c7d8
80a0e7,1cd1a8
392d36,ed6f58
b9858f,e59505
00271d,a8b8bf
dd3b2d,11a7e3
00aaec,50b1bd
00aaea,fe2c9f
00aaeb,c0583d
f98a9a,9bf291
012160,7f3c52
02eac7,5dbc88
7128b1,2332a7
00aaf7,4610ca
77132c,abb1c4
012165,108f60
f46663,2bd37b
b01606,22497e
c7adeb,01b089
315966,0c83d1
036126,5a91ed
012155,cf53fd
00aaf2,ef6f42
00aadf,2b4bdb
20ff20,f9635d
00aadd,32cf23
c5c46f,70774f
01214b,00c6b4
005afa,84c049
c238b7,1ae16d
01213c,704c62
01213d,b5e132
00aadb,42ce76
00aae7,2e81b0
c238b1,d13d7e
00aae6,a32fbc
e4d07d,5ea89a
005afe,fcdec5
012154,018a57
005afb,c4d48a
005afc,63cbf3
31a940,124834
00aae3,adabdd
00aace,9e33bf
2d4aa6,c9e9b2
9ef357,a6f583
00aacf,ac3b6e
00aacc,26a1c0
2f5752,3ec671
00aacd,137455
740cfc,c521a4
681e09,66ada2
012187,9b12a5
8e6a53,6724f1
b4e3b2,4fe9d3
26644d,4d5b31
00aaff,cfd9f2
d2f94b,86d726
01216d,f291b3
872b89,253399
4e645a,50344a
01216c,081260
8eba01,f7db03
00aafa,658172
01215f,0dd63b
00aafd,33c299
fda914,85a917
00aafe,70985c
00aafb,eb1a5b
f9da60,64131c
55a63c,273bf8
012176,9b44d1
012173,2b1185
54dfa3,15a83f
07575d,3a5f46
012167,957d8c
20ff1c,e2c6fd
2aeaae,570f7d
74635b,284c8c
896b29,23bb77
a1c780,b7a6df
17bf21,1df452
00aaef,0499eb
76197f,734367
01215c,2a4c08
2b6124,cd3a4d
ccaae4,cd46f9
01210a,9026de
002795,80e181
005ad8,474af8
01210d,fa669d
005ad9,785907
23af11,34ff7f
4e0f04,2040f2
00aab5,d5bc2d
005acf,5e690e
00278a,30287f
005acd,bbc03e
00aab3,fe293b
005aca,f8e653
012120,cbadc1
005acb,e0b2e2
02675a,896931
2a9ab5,0ca266
2d1735,8be5cc
05f124,0231e6
012114,acecef
00aab0,7dc024
00278d,2cfb50
012118,198b23
00278f,a8a282
005ae7,51d8e1
005ae5,40355a
faf900,9cd4f9
fe51d6,6a88bb
005ae4,6ad636
472685,a404f2
002789,56ebc5
002783,a29832
005ac9,7963d3
ae1401,ef48df
8eba62,2a01da
002784,f95520
002786,421dd2
00aaa3,74739f
00aaa1,4f1189
1cbe64,339668
a2c161,c23a0b
00aaa5,74ede3
00aaa6,4dc03f
012101,b8fe33
60ce4d,6884ce
00277b,7c4c13
00aaa0,822c9d
005abf,4c4f9c
012104,a6bb08
00277e,6da22c
002790,58bff8
005ad6,3a6ef9
002791,8d552e
002792,30b0b8
005ad4,6f71d9
012108,77789d
78a99c,276ae9
df7b5f,93a05d
00aaca,249b50
44c67e,2b2ddd
90bb82,10bf7c
7c1023,ad0e60
00aad7,108389
005aee,f1f498
005aef,e6425f
00aad5,0f47f2
005aec,4dd99f
012143,8eff53
a45ae8,4cc45c
cac14b,bb032e
00aad8,cab5b4
012140,bfcd49
005aeb,a6a83b
00aad9,ef0420
012135,194d51
012134,405423
f22635,0700a6
00aad2,147a6e
012139,0b74be
00aad3,853ac2
9df948,55fb8a
00aabd,64a867
d83d39,c5ce78
92c5ee,7e9691
00aabe,5e1b61
681e2d,272d88
364830,0e4900
f56049,d60510
00aabf,7180a0
01211c,2d062f
b8d9e9,bfc1d6
00aaba,65cf11
005ae9,4834a6
00aac5,de8e02
00279b,28f869
005add,217d04
00aac3,9237cd
005ade,a1a4dd
00aac9,9fd2fb
005adc,f87843
00aac7,2bf083
00aac8,48f8cf
005af0,e4e547
005af1,e5ce45
dfcb34,bc6a09
00279d,b7fb88
00aac1,eaabb3
00aac2,d1a8ca
00279f,631c7b
00aac0,2fd90a
012127,8e1dc4
005af8,649564
e97035,ec6808
005af6,41d34b
00aaaa,ef4bcc
005af4,31b1fd
005af5,d096cf
f9da9f,136b2b
d31944,da6828
005af2,276ad8
00aaae,d1e320
005af3,16b2e4
1fc338,8d2d4f
0026ce,c84dc0
9e18c8,e36521
0026cf,3c30d2
005c1e,13af8e
b43eb2,e8d8da
0026ca,5f9425
005c1c,9717ea
0026cb,e1e64e
005c33,11094b
0026e0,cee841
005c30,f65c44
d807bd,925334
0026e5,925c97
19ff81,e4689a
0026e6,536e0b
5a51f0,c13583
31dd96,34fd5b
472646,ff99d9
00ac07,e00fa2
005c37,e2a7a0
60cdb3,379c20
0026e2,06a52f
005c38,867a71
0026e3,dc0a2e
d83d11,edd112
67c99d,32856f
b983f5,9dfd7f
005c2a,64444f
00ac04,2f352a
1fc32b,a6ce07
00ac05,4a6256
00ac03,8502c4
f0c09b,b2ce30
0026bb,734bc5
0026bd,a484fc
0026be,1022ef
005c0d,db2695
0026ba,0faf5f
2e115a,eb07ba
005c22,073338
005c23,f22689
3251d3,070cce
005c21,8b941f
0026bf,b10030
9c62a8,07cc7f
ca1c25,303a54
0026d4,71587a
0026d6,507335
0026d7,7f30ac
a94af2,63f4c4
103efd,531530
0026d2,550d2e
005c24,cee024
030c01,4b6610
005c1b,dcc0e9
c0d362,62d2f8
364864,983700
0026ef,f6fdc3
50663b,4a2e80
0026eb,8fb733
2bb179,08cd22
0e3e7e,bbd779
ed750d,ec1183
0026ec,1a0305
005c55,e0bcc1
00ac1a,9e6d64
40d087,e52c32
dfcb91,ceaafc
57e4ec,a84dda
005c53,9fa146
4baf2d,d1244e
005c54,9683c3
00ac1f,60f328
afde0f,3c1f51
558a4c,a55edb
005c50,881116
0b8e93,788c8c
00ac28,cb55f4
d797ad,f9a318
005c59,73309e
2b6195,b82259
005c58,a87d48
005c4d,77405e
005c4b,3f4318
005c4c,d87fd7
00ac21,7f1381
054afd,9276eb
127ea7,1ea93e
005c4a,259c5d
2569bd,acc8ae
00ac24,58f3a5
afa8c6,0df073
0026dd,3afb6e
71ae73,4a2a26
499a9f,127b1d
0026de,8c5fe8
b6cf9b,46b4ef
00ac0f,c220ff
0026da,bbc744
0026dc,20aded
005c2e,fcf368
19ff4d,cfea7d
79a1e5,60468c
005c45,bb5dcc
00ac0a,5aad58
819798,960163
0026f0,26d9e5
0026f1,ae34fb
005c40,63b6a2
00ac0e,b11798
00ac0b,2ffe55
00ac0c,acc919
9765a8,15769d
0026f6,91cb81
0026f8,f6dee7
00ac17,17431d
0c52a8,9b134e
00ac18,5dd97f
0026f2,022c80
005c48,12751f
eabef1,9a35da
0026f3,dab7e3
005c49,b845dc
edc3c1,c220d6
0026f4,7eeb7c
005c46,7f9451
005c47,f44fa9
005c3c,a7bdd2
005c3a,c8fe22
820773,447799
00ac15,de222c
00ac16,c11611
844727,2ef770
c9ef0b,da08b3
3011d5,bc27be
c9ef0f,499a30
c7af52,54cd62
0026a4,8c41a5
531624,e8203d
0026a9,117dad
01218a,6375d8
1f7390,d69e27
0026a6,cf40c5
0026a7,25d796
01218d,a3736a
0026a8,55b489
7368ba,e00988
c08318,a6369b
dd3ab1,ffc70b
dce76e,5f8a8e
82914b,1c9265
012191,026bd9
cd2169,90d589
c99f21,a47d44
012195,aad471
739e25,c400a4
21c3f9,c52f1a
e87619,98e772
15d3d4,bf8be4
5f4468,70dd49
3a012d,9439e6
db5141,64952b
ff97b7,636c50
dd0765,a43533
49b6ec,9bb81c
5c3d15,de09dd
0026aa,858b3f
f0706b,ddb62d
0026ad,7768a7
81e79c,a4f8de
005c11,0d068d
78a941,4ee8a0
0026af,bf8fa7
318d3d,085910
0026c3,7c0571
005c19,fc1723
0026c6,372dee
005c18,db26e2
005c15,095729
903771,2728b6
005c16,87f475
0026c2,033032
5794d1,8c03f7
005c0a,6d11b6
0026c7,d03bb9
0026c8,f731a9
25ef3a,b1495a
0026c9,8c275b
8e6a03,821404
ab6408,0d65d9
7a4fe6,29963e
524fca,b4e663
005c00,a40aa9
005c01,25f4cc
1833aa,51c686
1a2e76,7b200f
0026b2,1fe1ac
0026b3,80f51a
005c09,58cb88
005c06,5ce1e5
005c05,133a6f
0026b0,451f0a
005c02,e602ca
fda7b8,a8f5e0
f64fb6,c42473
005c03,092c3b
01219d,5d397a
3d8709,d5140e
01219b,d0d331
0026b6,16d9ae
0026b7,5b85b7
0ca2b3,78e66a
50b63c,43fce4
531616,79f82b
0026b8,d1285d
01219e,2caff5
0026b9,59908b
49ec5c,c5abfa
01219f,523a2e
005a71,f928fb
bdd81f,11b6b6
005a70,1b1913
00aa54,cd5446
1cbdae,62e1c5
00aa51,7c8b22
00aa52,3ae7ad
99f3c5,62985e
005a77,113af9
00aa3d,a47dbb
921ead,f1008f
005a75,084ab6
005a73,b6ed12
005a74,9a6df7
8207c8,81f51e
005a6a,6dfdf7
176db9,079e14
f2ab40,523dae
00aa46,04c9c6
50b3e4,e21b01
005a6f,d38f65
00aa44,1ad840
005a6d,e566db
005a6e,1284a3
005a6b,860e3c
00aa48,820db7
005a60,4a0ce0
8ffdb4,207430
0024fd,3ced9b
40d233,37ca7b
005a68,fe0288
00aa2d,b110d4
005a66,1df479
00aa2c,b9db75
2df1a2,e41a62
d6514a,a9c28e
005a62,8bbfa0
c0d50c,61e1f0
00aa35,44f0af
005a5e,a9b4c6
005a5f,6844f6
00aa34,8ac492
005a5c,d56fde
2aed90,c3f64e
00aa37,a887a9
005a93,ce19e3
00aa71,96a313
005a94,525d8a
00aa72,b74d8d
005a91,0f119a
9c61d2,29115f
005a92,622822
00aa70,34a491
00aa75,879db1
005a90,4c7b60
847d06,e85882
005a99,ddc1fb
00aa5e,3f4318
00aa5f,6600a0
005a98,113aea
38d97a,b7dca2
005a96,36c4b0
005a8b,3d3455
005a8c,e0bf79
d83aab,055e48
abb4b9,0279d5
005a8a,4dde37
c9ed01,cfdfdf
847d09,a4c628
00aa5c,330861
d8076a,2ec020
00aa5a,79911f
6c7994,7dc54c
00aa68,1efb5f
00aa66,1332c3
c9ed04,b7611b
1ad470,fc6dc5
00aa67,fc4101
a69c49,873f7c
00aa60,9bf19c
00aa61,e8df13
005a80,5924b7
1d3433,55eafe
00aa64,693786
fb4f83,6058eb
0ee399,ea92a9
f6f5a2,8456b7
00aa63,ad4c5c
2f8d68,147b72
005a88,85a427
00aa4e,6556bb
005a86,4837ef
005a84,87d85e
005a85,ae2f7f
15d41c,12e43b
005a7b,052daf
1a848f,ade529
00aa4b,72a229
d5dafa,ec1144
00aa55,44b911
5c9275,928248
030a20,a7ec06
005a7c,1a1d90
0024ce,490f0b
0024ca,865a4b
0024cb,5fdd72
00aa10,c05238
0024cc,4e8994
005a1f,520858
005a35,1d7cf5
005a36,2e444b
0024e1,e09e86
005a33,879db1
0024e2,347951
029a05,99e2ae
005a31,f64f6e
005a30,acccc4
0024e7,dde98f
0024e9,41ff68
00aa08,08edc0
00aa09,1b91cd
0024e4,2a3a2a
005a37,723928
0024e6,9429d6
005a38,365ce8
00aa02,c36a3c
005a2b,811b3e
00aa00,4dec7b
0024da,6ae2b7
005a2a,d19c7d
00aa07,289ce3
0024bf,53359d
005a0f,afb0cb
0024bb,dbe092
9a21d1,078383
005a0d,464541
0024bc,64d033
005a25,aa1927
0024d0,4e5884
005a22,45e769
21c518,e5f30c
8a89bc,f48112
0024d1,97d0b2
fb19bd,8959fe
005a20,20e1a0
0024d7,27adf8
823d3b,f183c0
0024d8,ca8b37
0024d9,f52abe
005a28,68824b
0024d5,12d013
005a27,9066b0
005a1c,2887c4
005a1a,f94947
005a50,0e00c7
0024ec,e40a53
dadc0b,5a0fef
00aa31,521f08
0024ed,f3f768
dd916c,4b37d7
00aa32,a73dd8
0024ee,114226
0024ef,3a8156
00aa30,910190
00aa1c,d960c6
005a58,7f400d
00aa1d,5b8fe9
36ce10,ad954f
a270ee,d963a3
005a56,f8e499
00aa1b,925d59
607cce,28875f
39d355,371bd4
005a54,ddd6ef
3b4581,2ff466
005a51,5b97ec
00aa1f,524aa1
a45c6d,41c13e
f01b48,785c0e
005a59,e2fbd6
dc96b0,275cef
005a4f,370b45
00aa24,c46758
00aa25,9f5c70
0024fc,4ba93f
00aa28,d85831
00aa29,2483b4
00aa27,40c728
0024df,d0a177
0024db,79aa50
86d888,6ef537
4570f0,30c5bb
b59061,d6feef
0024dc,4c9f36
0024dd,f28805
005a2f,00d8d7
0024f0,274d31
005a46,0f3a77
005a47,4013c6
0024f2,2e6afb
005a44,32b10e
573f05,ed4aab
67fca9,55c571
a2c0bc,d2b3f4
0024f3,a57891
00aa0a,7906c9
005a42,b25f08
00aa0f,37d1ab
005a43,cce216
bb483e,5003e4
005a40,9a9c00
005a41,d03f0b
00aa0e,e66357
0024f8,575881
0024f9,e565ab
be2c98,e41a62
0024f5,b92f20
0024f6,9f9943
0024f7,ba2b3f
005a49,4c28c5
823d28,a72aa2
00aa14,4c55c7
0024ea,50df88
0024eb,f0eafd
005a3a,9bd150
00aa17,326450
005a3b,689c24
ed74d1,a21ecf
c4c9ee,547cf3
002634,44208f
969ee6,638f75
002630,37bf6f
36ce39,24e60c
002637,487bc2
af8eec,6f5290
002639,314225
e874a7,98f0a9
cc2705,0fe580
00262d,1ca7f7
26650d,bd5511
07556a,e8c642
0bdce4,035f88
a7b0ad,5d86d3
002622,8351f8
054a74,f3eab0
002625,ec115a
002621,7c6d65
c479fb,a42b32
002626,5aa994
002627,2d136d
34098c,99fad2
00261a,db4988
00261d,61e7c8
44fc86,abaf16
0e3cca,7fcf91
325371,2da59f
c4ff1d,62e37b
8687ca,2ae8ac
f01ab8,69c572
eb6a50,46a623
c51f46,9a9c41
00261e,cfe0df
002657,9526ec
002658,b08c8f
002651,4ee20f
52f482,52856a
002652,8bd3b0
002653,cfdcb1
44c6f3,49bdc3
002654,897e99
dd3c39,e1f56e
002659,ab0584
39d399,86db65
1249bb,4c5246
00264e,575701
00264f,cf4ebc
739dc3,2048e9
00264a,2ba245
00264b,5b15e2
00264c,f64b71
b255f9,6bd62f
3b7a25,8d8275
fb19a4,f1a20d
002645,4fcb9f
002646,df918f
002647,501f47
002641,cf41e4
c333aa,37e70f
002642,4b812b
002649,8eb4f8
00263c,b65a9f
a6680c,cdaa12
00263a,0d642b
002650,6f5ec4
b505a0,1591ca
4b5df0,c5f616
f7f010,97722b
00aa91,17a50d
00aa97,5b3ed1
7fe754,02eb0c
00aa90,858f3a
00aa7a,214c27
00aa7f,e29eaa
00aa7c,b462c0
00aa7d,263a7e
1a2dd2,3461bb
be2bd0,e8cbfa
10e3cd,0def30
4d9dfc,bb463d
00aa83,beba1a
00aa80,4b6337
00aa86,e16bc1
00aa87,594ee6
00aa84,f4ad58
b2db2f,495a77
7f977b,a305f5
005a9d,f19d2d
00aa6a,d8954c
15846f,2ec262
c9b939,fd4782
005a9b,54873f
00aa6d,6780cd
c02f82,55da4d
00aa6c,acb573
dd06dd,bba520
500f68,9ee3fc
002611,4ca837
002614,1a77e0
002610,0adde5
002619,5e8b66
8687c0,5830ad
e634f7,82bd5f
002616,90bc18
315993,cde65c
d3175e,7ffeb8
002618,5beedb
55a42f,d60510
00aa9d,ca9305
00260b,a6aee4
00aa9a,fc949c
00260c,374aa7
00aa9b,40f067
fbf44a,43375e
fc144b,cfcf38
b8408e,5553fd
00aa9f,ee1adf
976554,ccf7a0
00260d,8957fc
00260e,4442c9
1a2df5,8d92ec
00260f,ee0160
002600,ca43a7
002601,135812
002603,14c3ba
40d0ee,9c6719
002608,0876ed
002609,19f9c2
002604,b2461d
e66a39,349d0c
c75cca,cbe505
6abd8e,7362bd
00aa8b,95b461
00aa8c,bf52d8
00aa8a,a5307a
00aa8d,e43c09
8b845c,05edaa
00aa99,065c06
9a2300,636b80
01202f,88b0af
01202d,d0a8f0
97b57d,e3066c
3dd4d3,80247a
0ba928,0abc4b
45c18a,e1ed41
2f584c,0f5804
012041,a83601
6b32ac,7c4426
1582b6,ef953e
7129d7,7cadfd
012034,f7aef1
012035,ce8663
a4abc6,a4899b
012039,46e2e9
01202a,e2cf7e
6537f8,2bcf3e
01202b,92893c
bbcd2a,72934b
79a410,180605
f71740,126a40
4e0cec,1d9e05
df7c6f,c23d5c
1738d3,80c167
1102ed,536669
00269b,8f17f2
00269c,1d628f
00269d,6ecf3f
1ec9e1,ff63cd
79a405,3d04f8
00269f,3e211b
8bd3ca,ff353c
9e1899,6d3a88
50b57d,222599
b2da69,46d90c
cac003,626f39
2b6265,f9ac6e
81e811,4382e5
ce6647,544c79
9c0bf8,4d4f76
051622,21ade6
2df226,bddf41
da582f,32dba1
b2da96,02556a
7b4aab,f8333e
01204e,0dccb9
6abe83,b5616b
2aebd4,8c2162
c5c375,dfce73
2f8baf,7fa4fe
78dde6,e43bac
6141bf,d0af26
77142d,bac95f
5c90f4,2118f2
4decd9,131501
a52259,458e57
012058,a7f588
9e4bbe,ba2c86
e1ca12,34ba89
012059,1dbd7c
a9180d,47238b
012057,d44240
c5745f,0f451b
de00b4,e63145
044fd0,9801af
